#SHEETINFO | name=Multiplication,
"1 ⋅ 0 =
0 ⋅ 1 =",0,0 : 1 = 0
1 ⋅ 1 =,1,1 : 1 = 1
"1 ⋅ 2 =
2 ⋅ 1 =",2,2 : 1 = 2
"1 ⋅ 3 =
3 ⋅ 1 =",3,3 : 1 = 3
"1 ⋅ 4 =
4 ⋅ 1 =",4,4 : 1 = 4
"1 ⋅ 5 =
5 ⋅ 1 =",5,5 : 1 = 5
"1 ⋅ 6 =
6 ⋅ 1 =",6,6 : 1 = 6
"1 ⋅ 7 =
7 ⋅ 1 =",7,7 : 1 = 7
"1 ⋅ 8 =
8 ⋅ 1 =",8,8 : 1 = 8
"1 ⋅ 9 =
9 ⋅ 1 =",9,9 : 1 = 9
"1 ⋅ 10 =
10 ⋅ 1 =",10,10 : 1 = 10
,,
"2 ⋅ 0 =
0 ⋅ 2 =",0,0 : 2 = 0
"2 ⋅ 1 =
1 ⋅ 2 =",2,2 : 2 = 1
2 ⋅ 2 =,4,4 : 2 = 2
"2 ⋅ 3 =
3 ⋅ 2 =",6,6 : 2 = 3
"2 ⋅ 4 =
4 ⋅ 2 =",8,8 : 2 = 4
"2 ⋅ 5 =
5 ⋅ 2 =",10,10 : 2 = 5
"2 ⋅ 6 =
6 ⋅ 2 =",12,12 : 2 = 6
"2 ⋅ 7 =
7 ⋅ 2 =",14,14 : 2 = 7
"2 ⋅ 8 =
8 ⋅ 2 =",16,16 : 2 = 8
"2 ⋅ 9 =
9 ⋅ 2 =",18,18 : 2 = 9
"2 ⋅ 10 =
10 ⋅ 2 =",20,20 : 2 = 10
,,
"3 ⋅ 0 =
0 ⋅ 3 =",0,0 : 3 = 0
"3 ⋅ 1 =
1 ⋅ 3 =",3,3 : 3 = 1
"3 ⋅ 2 =
2 ⋅ 3 =",6,6 : 3 = 2
3 ⋅ 3 =,9,9 : 3 = 3
"3 ⋅ 4 =
4 ⋅ 3 =",12,12 : 3 = 4
"3 ⋅ 5 =
5 ⋅ 3 =",15,15 : 3 = 5
"3 ⋅ 6 =
6 ⋅ 3 =",18,18 : 3 = 6
"3 ⋅ 7 =
7 ⋅ 3 =",21,21 : 3 = 7
"3 ⋅ 8 =
8 ⋅ 3 =",24,24 : 3 = 8
"3 ⋅ 9 =
9 ⋅ 3 =",27,27 : 3 = 9
"3 ⋅ 10 =
10 ⋅ 3 =",30,30 : 3 = 10
,,
"4 ⋅ 0 =
0 ⋅ 4 =",0,0 : 4 = 0
"4 ⋅ 1 =
1 ⋅ 4 =",4,4 : 4 = 1
"4 ⋅ 2 =
2 ⋅ 4 =",8,8 : 4 = 2
"4 ⋅ 3 =
3 ⋅ 4 =",12,12 : 4 = 3
4 ⋅ 4 =,16,16 : 4 = 4
"4 ⋅ 5 =
5 ⋅ 4 =",20,20 : 4 = 5
"4 ⋅ 6 =
6 ⋅ 4 =",24,24 : 4 = 6
"4 ⋅ 7 =
7 ⋅ 4 =",28,28 : 4 = 7
"4 ⋅ 8 =
8 ⋅ 4 =",32,32 : 4 = 8
"4 ⋅ 9 =
9 ⋅ 4 =",36,36 : 4 = 9
"4 ⋅ 10 =
10 ⋅ 4 =",40,40 : 4 = 10
,,
"5 ⋅ 0 =
0 ⋅ 5 =",0,0 : 5 = 0
"5 ⋅ 1 =
1 ⋅ 5 =",5,5 : 5 = 1
"5 ⋅ 2 =
2 ⋅ 5 =",10,10 : 5 = 2
"5 ⋅ 3 =
3 ⋅ 5 =",15,15 : 5 = 3
"5 ⋅ 4 =
4 ⋅ 5 =",20,20 : 5 = 4
5 ⋅ 5 =,25,25 : 5 = 5
"5 ⋅ 6 =
6 ⋅ 5 =",30,30 : 5 = 6
"5 ⋅ 7 =
7 ⋅ 5 =",35,35 : 5 = 7
"5 ⋅ 8 =
8 ⋅ 5 =",40,40 : 5 = 8
"5 ⋅ 9 =
9 ⋅ 5 =",45,45 : 5 = 9
"5 ⋅ 10 =
10 ⋅ 5 =",50,50 : 5 = 10
,,
"6 ⋅ 0 =
0 ⋅ 6 =",0,0 : 6 = 0
"6 ⋅ 1 =
1 ⋅ 6 =",6,6 : 6 = 1
"6 ⋅ 2 =
2 ⋅ 6 =",12,12 : 6 = 2
"6 ⋅ 3 =
3 ⋅ 6 =",18,18 : 6 = 3
"6 ⋅ 4 =
4 ⋅ 6 =",24,24 : 6 = 4
"6 ⋅ 5 =
5 ⋅ 6 =",30,30 : 6 = 5
6 ⋅ 6 =,36,36 : 6 = 6
"6 ⋅ 7 =
7 ⋅ 6 =",42,42 : 6 = 7
"6 ⋅ 8 =
8 ⋅ 6 =",48,48 : 6 = 8
"6 ⋅ 9 =
9 ⋅ 6 =",54,54 : 6 = 9
"6 ⋅ 10 =
10 ⋅ 6 =",60,60 : 6 = 10
,,
"7 ⋅ 0 =
0 ⋅ 7 =",0,0 : 7 = 0
"7 ⋅ 1 =
1 ⋅ 7 =",7,7 : 7 = 1
"7 ⋅ 2 =
2 ⋅ 7 =",14,14 : 7 = 2
"7 ⋅ 3 =
3 ⋅ 7 =",21,21 : 7 = 3
"7 ⋅ 4 =
4 ⋅ 7 =",28,28 : 7 = 4
"7 ⋅ 5 =
5 ⋅ 7 =",35,35 : 7 = 5
"7 ⋅ 6 =
6 ⋅ 7 =",42,42 : 7 = 6
7 ⋅ 7 =,49,49 : 7 = 7
"7 ⋅ 8 =
8 ⋅ 7 =",56,56 : 7 = 8
"7 ⋅ 9 =
9 ⋅ 7 =",63,63 : 7 = 9
"7 ⋅ 10 =
10 ⋅ 7 =",70,70 : 7 = 10
,,
"8 ⋅ 0 =
0 ⋅ 8 =",0,0 : 8 = 0
"8 ⋅ 1 =
1 ⋅ 8 =",8,8 : 8 = 1
"8 ⋅ 2 =
2 ⋅ 8 =",16,16 : 8 = 2
"8 ⋅ 3 =
3 ⋅ 8 =",24,24 : 8 = 3
"8 ⋅ 4 =
4 ⋅ 8 =",32,32 : 8 = 4
"8 ⋅ 5 =
5 ⋅ 8 =",40,40 : 8 = 5
"8 ⋅ 6 =
6 ⋅ 8 =",48,48 : 8 = 6
"8 ⋅ 7 =
7 ⋅ 8 =",56,56 : 8 = 7
8 ⋅ 8 =,64,64 : 8 = 8
"8 ⋅ 9 =
9 ⋅ 8 =",72,72 : 8 = 9
"8 ⋅ 10 =
10 ⋅ 8 =",80,80 : 8 = 10
,,
"9 ⋅ 0 =
0 ⋅ 9 =",0,0 : 9 = 0
"9 ⋅ 1 =
1 ⋅ 9 =",8,9 : 9 = 1
"9 ⋅ 2 =
2 ⋅ 9 =",18,18 : 9 = 2
"9 ⋅ 3 =
3 ⋅ 9 =",27,27 : 9 = 3
"9 ⋅ 4 =
4 ⋅ 9 =",36,36 : 9 = 4
"9 ⋅ 5 =
5 ⋅ 9 =",45,45 : 9 = 5
"9 ⋅ 6 =
6 ⋅ 9 =",54,54 : 9 = 6
"9 ⋅ 7 =
7 ⋅ 9 =",63,63 : 9 = 7
"9 ⋅ 8 =
8 ⋅ 9 =",72,72 : 9 = 8
9 ⋅ 9 =,81,81 : 9 = 9
"9 ⋅ 10 =
10 ⋅ 9 =",90,90 : 9 = 10
,,
"10 ⋅ 0 =
0 ⋅ 10 =",0,0 : 10 = 0
"10 ⋅ 1 =
1 ⋅ 10 =",10,10 : 10 = 1
"10 ⋅ 2 =
2 ⋅ 10 =",20,20 : 10 = 2
"10 ⋅ 3 =
3 ⋅ 10 =",30,30 : 10 = 3
"10 ⋅ 4 =
4 ⋅ 10 =",40,40 : 10 = 4
"10 ⋅ 5 =
5 ⋅ 10 =",50,50 : 10 = 5
"10 ⋅ 6 =
6 ⋅ 10 =",60,60 : 10 = 6
"10 ⋅ 7 =
7 ⋅ 10 =",70,70 : 10 = 7
"10 ⋅ 8 =
8 ⋅ 10 =",80,80 : 10 = 8
"10 ⋅ 9 =
9 ⋅ 10 =",90,90 : 10 = 9
10 ⋅ 10 =,100,100 : 10 = 10

#SHEETINFO | name=Division
0 : 1 =,0,1 ⋅ 0 = 0
1 : 1 =,1,1 ⋅ 1 = 1
2 : 1 =,2,1 ⋅ 2 = 2
3 : 1 =,3,1 ⋅ 3 = 3
4 : 1 =,4,1 ⋅ 4 = 4
5 : 1 =,5,1 ⋅ 5 = 5
6 : 1 =,6,1 ⋅ 6 = 6
7 : 1 =,7,1 ⋅ 7 = 7
8 : 1 =,8,1 ⋅ 8 = 8
9 : 1 =,9,1 ⋅ 9 = 9
10 : 1 =,10,1 ⋅ 10 = 10
,,
0 : 2 =,0,2 ⋅ 0 = 0
2 : 2 =,1,2 ⋅ 1 = 2
4 : 2 =,2,2 ⋅ 2 = 4
6 : 2 =,3,2 ⋅ 3 = 6
8 : 2 =,4,2 ⋅ 4 = 8
10 : 2 =,5,2 ⋅ 5 = 10
12 : 2 =,6,2 ⋅ 6 = 12
14 : 2 =,7,2 ⋅ 7 = 14
16 : 2 =,8,2 ⋅ 8 = 16
18 : 2 =,9,2 ⋅ 9 = 18
20 : 2 =,10,2 ⋅ 10 = 20
,,
0 : 3 =,0,3 ⋅ 0 = 0
3 : 3 =,1,3 ⋅ 1 = 3
6 : 3 =,2,3 ⋅ 2 = 6
9 : 3 =,3,3 ⋅ 3 = 9
12 : 3 =,4,3 ⋅ 4 = 12
15 : 3 =,5,3 ⋅ 5 = 15
18 : 3 =,6,3 ⋅ 6 = 18
21 : 3 =,7,3 ⋅ 7 = 21
24 : 3 =,8,3 ⋅ 8 = 24
27 : 3 =,9,3 ⋅ 9 = 27
30 : 3 =,10,3 ⋅ 10 = 30
,,
0 : 4 =,0,4 ⋅ 0 = 0
4 : 4 =,1,4 ⋅ 1 = 4
8 : 4 =,2,4 ⋅ 2 = 8
12 : 4 =,3,4 ⋅ 3 = 12
16 : 4 =,4,4 ⋅ 4 = 16
20 : 4 =,5,4 ⋅ 5 = 20
24 : 4 =,6,4 ⋅ 6 = 24
28 : 4 =,7,4 ⋅ 7 = 28
32 : 4 =,8,4 ⋅ 8 = 32
36 : 4 =,9,4 ⋅ 9 = 36
40 : 4 =,10,4 ⋅ 10 = 40
,,
0 : 5 =,0,5 ⋅ 0 = 0
5 : 5 =,1,5 ⋅ 1 = 5
10 : 5 =,2,5 ⋅ 2 = 10
15 : 5 =,3,5 ⋅ 3 = 15
20 : 5 =,4,5 ⋅ 4 = 20
25 : 5 =,5,5 ⋅ 5 = 25
30 : 5 =,6,5 ⋅ 6 = 30
35 : 5 =,7,5 ⋅ 7 = 35
40 : 5 =,8,5 ⋅ 8 = 40
45 : 5 =,9,5 ⋅ 9 = 45
50 : 5 =,10,5 ⋅ 10 = 50
,,
0 : 6 =,0,6 ⋅ 0 = 0
6 : 6 =,1,6 ⋅ 1 = 6
12 : 6 =,2,6 ⋅ 2 = 12
18 : 6 =,3,6 ⋅ 3 = 18
24 : 6 =,4,6 ⋅ 4 = 24
30 : 6 =,5,6 ⋅ 5 = 30
36 : 6 =,6,6 ⋅ 6 = 36
42 : 6 =,7,6 ⋅ 7 = 42
48 : 6 =,8,6 ⋅ 8 = 48
54 : 6 =,9,6 ⋅ 9 = 54
60 : 6 =,10,6 ⋅ 10 = 60
,,
0 : 7 =,0,7 ⋅ 0 = 0
7 : 7 =,1,7 ⋅ 1 = 7
14 : 7 =,2,7 ⋅ 2 = 14
21 : 7 =,3,7 ⋅ 3 = 21
28 : 7 =,4,7 ⋅ 4 = 28
35 : 7 =,5,7 ⋅ 5 = 35
42 : 7 =,6,7 ⋅ 6 = 42
49 : 7 =,7,7 ⋅ 7 = 49
56 : 7 =,8,7 ⋅ 8 = 56
63 : 7 =,9,7 ⋅ 9 = 63
70 : 7 =,10,7 ⋅ 10 = 70
,,
0 : 8 =,0,8 ⋅ 0 = 0
8 : 8 =,1,8 ⋅ 1 = 8
16 : 8 =,2,8 ⋅ 2 = 16
24 : 8 =,3,8 ⋅ 3 = 24
32 : 8 =,4,8 ⋅ 4 = 32
40 : 8 =,5,8 ⋅ 5 = 40
48 : 8 =,6,8 ⋅ 6 = 48
56 : 8 =,7,8 ⋅ 7 = 56
64 : 8 =,8,8 ⋅ 8 = 64
72 : 8 =,9,8 ⋅ 9 = 72
80 : 8 =,10,8 ⋅ 10 = 80
,,
0 : 9 =,0,9 ⋅ 0 = 0
9 : 9 =,1,9 ⋅ 1 = 9
18 : 9 =,2,9 ⋅ 2 = 18
27 : 9 =,3,9 ⋅ 3 = 27
36 : 9 =,4,9 ⋅ 4 = 36
45 : 9 =,5,9 ⋅ 5 = 45
54 : 9 =,6,9 ⋅ 6 = 54
63 : 9 =,7,9 ⋅ 7 = 63
72 : 9 =,8,9 ⋅ 8 = 72
81 : 9 =,9,9 ⋅ 9 = 81
90 : 9 =,10,9 ⋅ 10 = 90
,,
0 : 10 =,0,10 ⋅ 0 = 0
10 : 10 =,1,10 ⋅ 1 = 10
20 : 10 =,2,10 ⋅ 2 = 20
30 : 10 =,3,10 ⋅ 3 = 30
40 : 10 =,4,10 ⋅ 4 = 40
50 : 10 =,5,10 ⋅ 5 = 50
60 : 10 =,6,10 ⋅ 6 = 60
70 : 10 =,7,10 ⋅ 7 = 70
80 : 10 =,8,10 ⋅ 8 = 80
90 : 10 =,9,10 ⋅ 9 = 90
100 : 10 =,10,10 ⋅ 10 = 100