#SHEETINFO | name=Kl5P Sumerowie,
Wymień trzy wynalazki Sumerów.,"Pismo klinowe, koło, szkło."
Co to był zikkurat?,"Wielopoziomowa świątynia w Sumerze, przypominająca schodkową piramidę."
Jak wyglądał zikkurat?,"Był schodkowy, z tarasami, na szczycie znajdowała się świątynia."
Do czego służył zikkurat?,Był miejscem kultu religijnego i obserwacji nieba.
Jakie rzeki przepływały przez Mezopotamię?,Tygrys i Eufrat.
Co oznacza nazwa „Mezopotamia”?,Kraina między dwiema rzekami.
Gdzie powstała cywilizacja Sumerów?,"W Mezopotamii, między Tygrysem a Eufratem."
Podaj przykład miasta-państwa Sumerów.,"Uruk, Ur, Lagasz."
Kto rządził w miastach-państwach Sumerów?,"Król, który był jednocześnie najwyższym kapłanem."
Jakie pismo wynaleźli Sumerowie?,Pismo klinowe.
Na czym Sumerowie pisali?,Na glinianych tabliczkach.
Czym Sumerowie pisali na glinie?,Rylcem z trzciny.
Jak utrwalano pismo klinowe?,"Tabliczki wypalano, żeby stwardniały."
Jak wyglądało pismo klinowe?,Znaki w kształcie klinów.
Jakie wynalazki zawdzięczamy Sumerom?,"Sumerowie wynaleźli: 
# pismo klinowe
# koło
# pierwszy wóz
# szkło (ale nie znali szyb)
# brąz
# szkoły
# system kanałów do nawadniania pól (czyli system irygacyjny)"
Po co Sumerowie budowali kanały?,Do nawadniania pól.
Dlaczego plony Sumerów były obfite?,Dzięki systemowi irygacyjnemu.
Gdzie na mapie znajdziesz Mezopotamię?,"Między Tygrysem a Eufratem, w dzisiejszym Iraku."
Jak nazywa się najstarsze znane miasto Sumerów?,Uruk.
Jak wyglądała biblioteka sumeryjska?,"Przechowywano w niej gliniane tabliczki, przypominała cegielnię."
Kiedy trwała cywilizacja Sumerów?,Od początków 4 tysiąclecia przed naszą erą do około 2000 lat przed naszą erą.
Co to jest cywilizacja?,"Poziom rozwoju jakiegoś społeczeństwa, które: 
# mieszka w osadach albo miastach
# zna rolnictwo i rzemiosło
# używa pisma"
Co to jest społeczeństwo?,"Społeczeństwo to duża grupa ludzi, którzy:
# Mieszkają na dużym terenie (np. w Egipcie),
# Podlegają tej samej władzy (np. królowi),
# Czują łączność między sobą (np. mówią tym samym jezykiem, podobnie pracują i spedzają czas wolny),
# Dostrzegają różnice między swoim społeczenstwem a innymi."
Jak dokonał się pierwszy podział pracy?,"Niektórzy Sumerowie mogli zrezygnować z rolnictwa i zająć się tylko rzemiosłem, np. wyrobem narzędzi. Tak dokonał się pierwszy podział pracy: między rolników i rzemieślników."
Jak powstały pierwsze miasta?,"Rzemieślnicy osiedlali się blisko siebie, gdyż w jednym miejscu łatwiej mogli kupić surowce i sprzedać swoje wyroby. Tak powstały pierwsze miasta."
Czym się różni miasto od wsi?,"Miasto różni się od wsi tym, że jego mieszkańcy utrzymują się przede wszystkim z rzemiosła i usług (np. medycznych, prawnych), a nie z rolnictwa."
"W którym roku Sumerowie wynaleźli pismo? 

Jaką erę to zakończyło, a jaką rozpoczęło?","Sumerowie wynaleźli pismo około 3500 r. p. n. e.

Wraz z tym wynalazkiem dobiegła końca prehistoria i zaczęła się historia."
Co zakończyło młodszą epokę kamienną?,"Wynalezienie brązu.

Był to stop miedzi z cyną, który nadawał się do wyrobu narzędzi i broni.

Wynalazek brązu zakończył młodszą epokę kamienną."
Co stało się z cywilizacją Sumerów około 2000 r. p.n.e.?,"Około 2000 r. p.n.e. cywilizację Sumerów zniszczyły inne ludy, ale jej osiągnięcia zostały przejęte i wykorzystane przez następne cywilizacje."