Jakie są rodzaje źródeł historycznych?,"Źródła historyczne dzielimy na: 
# materialne 
# pisane
# ustne"
Co to są źródła historyczne?,"Źródłami historycznymi nazywamy '''wszystkie ślady działania ludzi w przeszłości'''. 

Na przykład:
* budowle,
* narzędzia,
* stroje,
* zabawki,
* meble.  "
Podaj przykłady źródeł historycznych.,"Źródłem historycznym mogą być na przykład:
* sztućce prababci,
* świadectwo szkolne mamy,
* gazeta sprzed lat,
* stare radio na strychu,
* przedmioty znalezione w Biskupinie.

Te i inne przedmioty pozwalają poznać przeszłość - historykom oraz Tobie."
Czym są źródła materialne?,"Źródła materialne to wszystkie przedmioty z przeszłości. 

Na przykład:
* narzędzia,
* zabawki,
* meble."
Czym są źródła pisane?,"Źródła pisane to wszelkie dokumenty i teksty, które zostały zapisane na papierze lub innych materiałach.

Źródłami pisanymi są m.in. 
* listy - prywatna korespondencja między ludźmi,
* dokumenty,
* pamiętniki i dzienniki - osoby piszące o swoich doświadczeniach i uczuciach,
* gazety - wydawane codziennie lub co jakiś czas, zawierające wiadomości i opisy wydarzeń,
* księgi."
Czym są źródła ustne?,"Źródła ustne to wszelkiego rodzaju opowieści, usłyszane albo nagrane.

Przykłady źródeł ustnych:
* legendy - opowieści o przeszłych wydarzeniach, które mogą być prawdziwe lub fantastyczne, np. legendy o Królu Arturze.
* mity - historie o bogach, herosach i stworzeniu świata, np. mity greckie.
* tradycje i zwyczaje - przekazywane ustnie, jak np. sposoby świętowania różnych świąt w rodzinie czy społeczności.
* pamięć osób starszych - relacje dziadków i pradziadków o dawnych czasach, o ich życiu, wojnach czy wydarzeniach, które przeżyli.
Źródła ustne są ważne, bo pomagają zachować pamięć o przeszłości, zwłaszcza tam, gdzie nie ma pisanych dokumentów."
Kto i gdzie może odkryć źródła historyczne?,"Wszyscy:
* historycy
* archeolodzy
* każdy z nas

Źródła historyczne można odkryć praktycznie wszędzie. Źródłem historycznym są na przykład sztućce prababci z szafki kuchennej, świadectwo szkolne mamy w starej komodzie, gazeta sprzed lat, stare radio na strychu, itp. 
Te i inne przedmioty pozwalają poznać przeszłość - zarówno tobie jak i historykom."
Dlaczego źródła historyczne są ważne?,"Wszystkie źródła są ważne i cenne dla historyków, bo dzięki nim mogą odkrywać, jak wyglądało życie w dawnych czasach."
Wymień symbole narodowe Polski.,"* Flaga: Biało-czerwona.
* Godło: Orzeł Biały w złotej koronie na czerwonym polu.
* Hymn państwowy (narodowy): Mazurek Dąbrowskiego.
"
Wymień ważne święta narodowe.,"* 3 Maja: Upamiętnia uchwalenie przez Sejm Konstytucji 3 Maja - pierwszej w Europie i drugiej na świecie nowoczesnej ustawy zasadniczej.
* 11 listopada: Święto Niepodległości - obchodzimy rocznicę odzyskania przez Polskę niepodległości w 1918 roku."
Czym są miejsca pamięci narodowej?,"To tereny, budowle i obiekty, które upamiętniają ważne postacie lub wydarzenia z historii Polski."
,
Jakim krajem jest Polska?,"Polska leży w Europie Środkowej. Jest krajem głównie nizinnym - z dostępem do morza. 

Polska dzieli się na sześć głównych regionów, czyli części kraju, które różnią się między sobą przyrodą, kulturą i historią."
Co to jest mała ojczyzna?,"Mała ojczyzna to miejscowość lub okolica, z którą ktoś jest szczególnie związany, miejsce, gdzie się wychował i czuje się „u siebie”."
Co to jest patriotyzm i kto to jest patriota?,"Patriotyzm to miłość do ojczyzny, przywiązanie do swojego kraju i gotowość do jego obrony. 

Patriota to osoba, która jest dumna ze swojej narodowości."
Wymień regiony Polski i ich główne miasta.,"Polska dzieli się na wiele regionów, z których każdy ma swoją unikalną historię, kulturę i charakter. 
Oto kilka najważniejszych regionów wraz z ich głównymi miastami:
# Pomorze - Gdańsk i Szczecin
# Wielkopolska - Poznań
# Śląsk - Wrocław i Katowice
# Warmia i Mazury - Olsztyn
# Mazowsze z Podlasiem - Warszawa
# Małopolska - Kraków"
Czym jest rodzina mała i wielka?,"* Rodzina mała to rodzice i dzieci.
* Rodzina wielka to dziadkowie, babcie, ciotki, wujkowie, kuzyni itd. 

Krewni to osoby spokrewnione, czyli pochodzące od wspólnego przodka."
Co to jest genealogia?,"Genealogia to nauka o więzach rodzinnych, zarówno tych obecnych, jak i tych z przeszłości."
Co to jest drzewo genealogiczne?,Jest to schemat ukazujący pochodzenie i więzi rodzinne członków danej rodziny.
Co to są pamiątki rodzinne?,"Przedmioty, które od lat należą do danej rodziny i mówią coś ważnego o przodkach. Są źródłami historycznymi."
Co to są tradycje rodzinne?,Zwyczajnie pielęgnowane w rodzinie.
Co to jest archeologia?,"Nauka, która bada przeszłość na podstawie ludzkich wytworów. Aby je odnaleźć i zbadać, archeolodzy prowadzą wykopaliska archeologiczne."
Co to jest dziedzictwo historyczne?,"Wszystko to, co otrzymaliśmy od poprzednich pokoleń. Jego ochroną zajmują się muzea."
Co to jest historia?,"To nauka o działalności człowieka w przeszłości. Zajmują się nią historycy.

Jest opowieścią o przeszłości. 

Istnieje historia prywatna, rodzinna, przedmiotów, miejscowości i państw."
Po co poznajemy historię?,"Żeby wyciągać wnioski z przeszłości i dzięki nim mądrzej postępować teraz i w przyszłości.
Aby zrozumieć dzisiejszy świat."