== b⬜d⬜ ==,"== <span style=""color:#0000CD"">będą</span> =="
== ⬜odnik ==,"== <span style=""color:#0000CD""></span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">odnik</span> =="
== dr⬜⬜    ==,"== <span style=""color:#0000CD"">dr</span><span style=""color:#000000"">u</span><span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">   </span> =="
== ⬜ycał    ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ycał   </span> =="
== ⬜⬜łw ==,"== <span style=""color:#0000CD""></span><span style=""color:#008000"">ż</span><span style=""color:#0000CD""></span><span style=""color:#FF00FF"">ó</span><span style=""color:#0000CD"">łw</span> =="
== w⬜⬜ ==,"== <span style=""color:#0000CD"">wą</span><span style=""color:#008000"">ż</span><span style=""color:#0000CD""></span> =="
== Maz⬜rek D⬜browskiego ==,"== <span style=""color:#0000CD"">Maz</span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">rek Dąbrowskiego</span> =="
== odg⬜eb⬜je ==,"== <span style=""color:#0000CD"">odg</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">eb</span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">je</span> =="
== ⬜ej⬜e    ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ej</span><span style=""color:#008000"">ż</span><span style=""color:#0000CD"">e   </span> =="
== gaw⬜e ==,"== <span style=""color:#0000CD"">gaw</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">e</span> =="
== ⬜op   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">op  </span> =="
== o⬜ca ==,"== <span style=""color:#0000CD"">owca</span> =="
== spoj⬜y ==,"== <span style=""color:#0000CD"">spoj</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">y</span> =="
== odet⬜n⬜ć   ==,"== <span style=""color:#0000CD"">odet</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">nąć  </span> =="
== ⬜o⬜y   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">o</span><span style=""color:#008000"">ż</span><span style=""color:#0000CD"">y  </span> =="
== ⬜wila   ==,"== <span style=""color:#0000CD""></span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">wila  </span> =="
== ⬜ci⬜ło   ==,"== <span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">ci</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">ło  </span> =="
== k⬜ra ==,"== <span style=""color:#0000CD"">k</span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">ra</span> =="
== zdr⬜w ==,"== <span style=""color:#0000CD"">zdr</span><span style=""color:#FF00FF"">ó</span><span style=""color:#0000CD"">w</span> =="
== p⬜ytaiło ==,"== <span style=""color:#0000CD"">p</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">ytaiło</span> =="
== ⬜orror   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">orror  </span> =="
== po⬜odnia   ==,"== <span style=""color:#0000CD"">po</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">odnia  </span> =="
== g⬜rnik ==,"== <span style=""color:#0000CD"">g</span><span style=""color:#FF00FF"">ó</span><span style=""color:#0000CD"">rnik</span> =="
== ⬜łopak   ==,"== <span style=""color:#0000CD""></span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">łopak  </span> =="
== ś⬜inia ==,"== <span style=""color:#0000CD"">świnia</span> =="
== wa⬜ać si⬜  ==,"== <span style=""color:#0000CD"">wa</span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ać się </span> =="
== ⬜asał   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">asał  </span> =="
== zwi⬜n⬜ł   ==,"== <span style=""color:#0000CD"">zwi</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">nął  </span> =="
== ⬜⬜czne  ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">czne </span> =="
== p⬜et⬜yma ==,"== <span style=""color:#0000CD"">p</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">et</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yma</span> =="
== ⬜oryzont ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">oryzont</span> =="
== ⬜⬜rgot   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">rgot  </span> =="
== ⬜armider  ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">armider </span> =="
== zag⬜ebała ==,"== <span style=""color:#0000CD"">zag</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">ebała</span> =="
== p⬜yc⬜pni⬜te ==,"== <span style=""color:#0000CD"">p</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yc</span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">pnięte</span> =="
== sp⬜yja ==,"== <span style=""color:#0000CD"">sp</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yja</span> =="
== ⬜⬜ragan  ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">ragan </span> =="
== ⬜istoryczne  ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">istoryczne </span> =="
== zd⬜⬜ył ==,"== <span style=""color:#0000CD"">zdą</span><span style=""color:#008000"">ż</span><span style=""color:#0000CD"">ył</span> =="
== taki⬜ ==,"== <span style=""color:#0000CD"">taki</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""></span> =="
== ⬜⬜k    ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">k   </span> =="
== ⬜ejnał   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ejnał  </span> =="
== bła⬜y    ==,"== <span style=""color:#0000CD"">bła</span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">y   </span> =="
== ⬜yrafa ==,"== <span style=""color:#0000CD""></span><span style=""color:#008000"">ż</span><span style=""color:#0000CD"">yrafa</span> =="
== bo⬜ater  ==,"== <span style=""color:#0000CD"">bo</span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ater </span> =="
== ⬜erb   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">erb  </span> =="
== b⬜d⬜ ==,"== <span style=""color:#0000CD"">będę</span> =="
== rozp⬜dzony⬜  ==,"== <span style=""color:#0000CD"">rozpędzony</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""> </span> =="
== Barb⬜rka ==,"== <span style=""color:#0000CD"">Barb</span><span style=""color:#FF00FF"">ó</span><span style=""color:#0000CD"">rka</span> =="
== ⬜m⬜ry ==,"== <span style=""color:#0000CD""></span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">m</span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">ry</span> =="
== p⬜enica ==,"== <span style=""color:#FF0000"">pszenica</span> =="
== s⬜ować   ==,"== <span style=""color:#0000CD"">s</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">ować  </span> =="
== dr⬜g ==,"== <span style=""color:#0000CD"">dr</span><span style=""color:#FF00FF"">ó</span><span style=""color:#0000CD"">g</span> =="
== ⬜oć    ==,"== <span style=""color:#0000CD""></span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">oć   </span> =="
== ⬜alabarda   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">alabarda  </span> =="
== szcze⬜yła ==,"== <span style=""color:#0000CD"">szcze</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yła</span> =="
== r⬜⬜   ==,"== <span style=""color:#0000CD"">r</span><span style=""color:#000000"">u</span><span style=""color:#0000CD""></span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">  </span> =="
== p⬜yg⬜ewa ==,"== <span style=""color:#0000CD"">p</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yg</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">ewa</span> =="
== p⬜yj⬜ła ==,"== <span style=""color:#0000CD"">p</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yjęła</span> =="
== ⬜en    ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">en   </span> =="
== t⬜yma ==,"== <span style=""color:#0000CD"">t</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yma</span> =="
== ⬜ipopotam ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ipopotam</span> =="
== ⬜a    ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">a   </span> =="
== odg⬜ebała ==,"== <span style=""color:#0000CD"">odg</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">ebała</span> =="
== co t⬜⬜   ==,"== <span style=""color:#0000CD"">co t</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">  </span> =="
== porastaj⬜cy⬜  ==,"== <span style=""color:#0000CD"">porastający</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""> </span> =="
== naszy⬜ ==,"== <span style=""color:#0000CD"">naszy</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""></span> =="
== Wszystki⬜ Świ⬜ty⬜ ==,"== <span style=""color:#0000CD"">Wszystki</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""> Święty</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""></span> =="
== west⬜n⬜li   ==,"== <span style=""color:#0000CD"">west</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">nęli  </span> =="
== ⬜ełm   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ełm  </span> =="
== ⬜eca    ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">eca   </span> =="
== niep⬜yjemny ==,"== <span style=""color:#0000CD"">niep</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yjemny</span> =="
== ⬜arfa   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">arfa  </span> =="
== bo⬜aterski   ==,"== <span style=""color:#0000CD"">bo</span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">aterski  </span> =="
== ⬜ałaśliwi  ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ałaśliwi </span> =="
== ⬜i    ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">i   </span> =="
== p⬜czoła ==,"== <span style=""color:#FF0000"">pszczoła</span> =="
== niep⬜yjazny ==,"== <span style=""color:#0000CD"">niep</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yjazny</span> =="
== ⬜arce⬜ ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">arce</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD""></span> =="
== bliski⬜ ==,"== <span style=""color:#0000CD"">bliski</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""></span> =="
== ⬜⬜kn⬜ć   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">knąć  </span> =="
== naje⬜ał   ==,"== <span style=""color:#0000CD"">naje</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">ał  </span> =="
== d⬜emie ==,"== <span style=""color:#0000CD"">d</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">emie</span> =="
== p⬜yj⬜ł ==,"== <span style=""color:#0000CD"">p</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">yjął</span> =="
== miejsca⬜ ==,"== <span style=""color:#0000CD"">miejsca</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD""></span> =="
== ⬜⬜raganowy   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">raganowy  </span> =="
== kt⬜ry ==,"== <span style=""color:#0000CD"">kt</span><span style=""color:#FF00FF"">ó</span><span style=""color:#0000CD"">ry</span> =="
== ⬜onor   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">onor  </span> =="
== nosoro⬜ec ==,"== <span style=""color:#0000CD"">nosoro</span><span style=""color:#008000"">ż</span><span style=""color:#0000CD"">ec</span> =="
== ⬜ałasował   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ałasował  </span> =="
== ⬜onor ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">onor</span> =="
== zasn⬜ł ==,"== <span style=""color:#0000CD"">zasnął</span> =="
== ⬜⬜lał   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">lał  </span> =="
== g⬜ś ==,"== <span style=""color:#0000CD"">gęś</span> =="
== dru⬜ ==,"== <span style=""color:#FF0000"">dr<span style=""color:#000000"">u</span><span style=""color:#FF0000"">h</span> =="
== p⬜enika ==,"== <span style=""color:#0000CD"">p</span><span style=""color:#87CEEB"">rz</span><span style=""color:#0000CD"">enika</span> =="
== ⬜śmie⬜n⬜ł   ==,"== <span style=""color:#0000CD""></span><span style=""color:#000000"">u</span><span style=""color:#0000CD"">śmie</span><span style=""color:#000000"">ch</span><span style=""color:#0000CD"">nął  </span> =="
== ⬜yc   ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">yc  </span> =="
== drogi - dro⬜szy ==,"== <span style=""color:#0000CD"">drogi - dro</span><span style=""color:#008000"">ż</span><span style=""color:#0000CD"">szy</span> =="
== ⬜ola    ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ola   </span> =="
== czy⬜ać   ==,"== <span style=""color:#0000CD"">czy</span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">ać  </span> =="
== wa⬜anie   ==,"== <span style=""color:#0000CD"">wa</span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">anie  </span> =="
== ⬜istoria  ==,"== <span style=""color:#0000CD""></span><span style=""color:#8B4513"">h</span><span style=""color:#0000CD"">istoria </span> =="