#SHEETINFO | name=Kl5SP Katarynka,
Kto jest autorem noweli „Katarynka”?,Bolesław Prus.
Jakim gatunkiem literackim jest „Katarynka”?,Jest to nowela.
Kiedy powstała „Katarynka”?,W 1880 roku.
Gdzie i kiedy rozgrywa się akcja utworu?,W Warszawie w drugiej połowie XIX wieku.
Kim z zawodu był pan Tomasz?,Był emerytowanym adwokatem.
Gdzie mieszkał pan Tomasz?,W eleganckim mieszkaniu przy ulicy Miodowej w Warszawie.
Jak wyglądało życie pana Tomasza przed poznaniem dziewczynki?,"Było samotne, uporządkowane i podporządkowane jego upodobaniom."
Jaka była największa pasja pana Tomasza?,"Sztuka, a w szczególności muzyka wysokiej klasy."
Czego pan Tomasz nienawidził najbardziej?,Piskliwych i fałszywych dźwięków katarynek.
Jak pan Tomasz radził sobie z kataryniarzami?,"Płacił stróżowi, aby ten nie wpuszczał kataryniarzy na podwórko kamienicy."
Co było stałym elementem stroju pana Tomasza?,"Ciemne palto, cylinder i parasol w futerale."
Dlaczego pan Tomasz nie założył rodziny?,"Ponieważ cenił sobie spokój i porządek, a obawiał się, że rodzina zakłóci jego tryb życia."
Jaki był pan Tomasz na początku utworu?,"Był samotnikiem, egoistą i estetą, zamkniętym w świecie własnych upodobań."
Kto wprowadził się do lokalu naprzeciwko mieszkania pana Tomasza?,"Dwie ubogie panie (szwaczki) z małą, około ośmioletnią dziewczynką."
Na jaką dolegliwość cierpiała dziewczynka?,Była niewidoma.
"W jaki sposób pan Tomasz dowiedział się, że dziewczynka jest niewidoma?","Obserwował ją i zauważył, że nie reaguje wzrokiem na słońce ani na poruszające się przedmioty."
Jak dziewczynka spędzała całe dnie?,"Siedziała nieruchomo przy otwartym oknie, nasłuchując odgłosów z podwórka."
Jaki był wygląd dziewczynki?,"Była mała, cicha, miała jasne włosy, bladą twarz i niebieskie oczy."
"Jaka była dziewczynka, zanim usłyszała muzykę z katarynki?","Była apatyczna, smutna i zamyślona."
Dlaczego pewnego dnia na podwórku pojawił się kataryniarz?,"Ponieważ w kamienicy był nowy stróż, który nie znał zakazu pana Tomasza."
Jaka była pierwsza reakcja pana Tomasza na dźwięk katarynki?,Był wściekły i chciał natychmiast kazać stróżowi wyrzucić kataryniarza.
Co powstrzymało pana Tomasza przed interwencją i wyrzuceniem kataryniarza?,"Zobaczył w oknie naprzeciwko rozradowaną, tańczącą dziewczynkę."
Jak dziewczynka zareagowała na muzykę katarynki?,"Jej twarz pojaśniała, zaczęła klaskać w dłonie i wesoło tańczyć w rytm muzyki."
"Co pan Tomasz zrozumiał, obserwując reakcję dziewczynki?","Zrozumiał, że fałszywa muzyka katarynki jest dla niej jedynym źródłem wielkiej radości."
Co symbolizowała katarynka dla pana Tomasza na początku utworu?,"Była symbolem kiczu, braku gustu i hałasu zakłócającego porządek."
Co katarynka oznaczała dla niewidomej dziewczynki?,"Była dla niej jedyną rozrywką, źródłem szczęścia i kontaktem ze światem."
Jaką decyzję podjął pan Tomasz następnego dnia?,Odwołał stały zakaz wpuszczania kataryniarzy na podwórko.
Co pan Tomasz obiecał sobie na końcu noweli?,Że będzie regularnie płacił kataryniarzom za grę i że zacznie szukać lekarzy dla dziewczynki.
Jaką przemianę przeszedł pan Tomasz?,"Z egoisty i samotnika zmienił się w człowieka empatycznego, wrażliwego na cierpienie i potrzeby innych."
Co jest głównym tematem noweli?,Wewnętrzna przemiana człowieka pod wpływem współczucia.
Jaki jest morał utworu?,Szczęście drugiego człowieka jest ważniejsze niż własne przyzwyczajenia i zasady. Należy być wrażliwym na potrzeby innych.
Wymień trzy cechy noweli widoczne w „Katarynce”.,"# zwięzłość
# jednowątkowa fabuła
# wyraźnie zarysowany punkt kulminacyjny"
Co było punktem kulminacyjnym w noweli?,"Moment, w którym pan Tomasz widzi taniec szczęśliwej dziewczynki i rezygnuje z wyrzucenia kataryniarza."
Jakie problemy społeczne porusza Bolesław Prus w utworze?,"# problem ubóstwa
# problem samotności
# problem trudnej sytuacji osób niepełnosprawnych"
"Co, według utworu, jest ważniejsze: wysublimowana sztuka czy prosta radość?","Utwór pokazuje, że prosta, autentyczna radość człowieka jest wartością nadrzędną."
W jaki sposób dziewczynka „patrzyła” na świat?,Słuchała go; jej świat składał się z dźwięków.
Dlaczego pan Tomasz płacił stróżowi?,"Aby ten pilnował, by żaden kataryniarz nie wszedł na podwórze jego kamienicy."
Jakie instrumenty cenił pan Tomasz?,"Te, które wydawały czyste i harmonijne dźwięki, cenił muzykę klasyczną."
Jakie uczucie wzbudziła w panu Tomaszu dziewczynka?,Współczucie i chęć niesienia pomocy.
Czy pan Tomasz i dziewczynka kiedykolwiek ze sobą rozmawiali?,"Nie, cała relacja opierała się na obserwacji."
Co zmieniło się w codziennej rutynie pana Tomasza na końcu noweli?,Zaczął co rano oczekiwać na przyjście kataryniarza.
Kim był kataryniarz?,"Wędrownym grajkiem, który zarabiał na życie, grając na przenośnym instrumencie."
W jakiej epoce literackiej powstała „Katarynka”?,W pozytywizmie.
Jaką rolę w życiu pana Tomasza odgrywało jego mieszkanie?,"Było jego azylem, twierdzą chroniącą go przed chaosem i brzydotą świata zewnętrznego."
Czym zajmowały się opiekunki dziewczynki?,"Były szwaczkami, ciężko pracowały, aby się utrzymać."
Jaki był stosunek pana Tomasza do dzieci przed poznaniem sąsiadki?,"Nie lubił dzieci, uważał, że hałasują i wprowadzają nieporządek."
"Jakie dźwięki, oprócz katarynki, były dla pana Tomasza nie do zniesienia?","Wszelkie fałszywe tony, hałas uliczny i wrzaski."
Czy dziewczynka była niewidoma od urodzenia?,"Nie, straciła wzrok w wieku sześciu lat w wyniku ciężkiej gorączki."
Co można powiedzieć o sytuacji materialnej opiekunek dziewczynki?,"Były bardzo ubogie, mieszkały w skromnym lokalu."
Jakie wartości reprezentuje pan Tomasz po przemianie?,"Empatię, dobroć, bezinteresowność i odpowiedzialność za drugiego człowieka."
Dlaczego widok tańczącej dziewczynki tak bardzo poruszył pana Tomasza?,"Ponieważ po raz pierwszy zobaczył na jej twarzy prawdziwą, żywą radość."
Jaki kontrast przedstawia autor w noweli?,"Kontrast między światem bogatego estety a światem ubogiej, niepełnosprawnej dziewczynki."
Co było „najpiękniejszą muzyką” dla pana Tomasza na końcu utworu?,"Dźwięk katarynki, ponieważ niósł radość dziecku."
Czy pan Tomasz był złym człowiekiem na początku utworu?,"Nie był zły, ale był egoistycznie skupiony na sobie i obojętny na innych."
Jakie znaczenie ma tytuł utworu?,"Katarynka jest centralnym motywem, który wywołuje punkt kulminacyjny i prowadzi do przemiany bohatera."
Co oznacza termin „praca u podstaw” w kontekście noweli?,"Pomoc ubogim i niepełnosprawnym, co symbolizuje przemiana pana Tomasza."
Co pan Tomasz zyskał dzięki swojej przemianie?,Wyszedł ze swojej samotności i odnalazł nowy sens w życiu - pomaganie innym.
Jaki nastrój panuje na początku noweli?,"Nastrój spokoju, rutyny i pewnego rodzaju smutku wynikającego z samotności bohatera."
Jaki nastrój panuje na końcu noweli?,"Nastrój nadziei, optymizmu i ciepła."
Kim jest narrator w „Katarynce”?,"Narrator jest trzecioosobowy, wszechwiedzący - zna myśli i uczucia pana Tomasza."
Co to jest morał?,"Morał to pouczenie lub ważna myśl, która wynika z opowiadania, noweli, bajki albo wiersza.
Uczy, jak należy postępować i jakie zachowania są dobre lub złe."