#SHEETINFO | name=Kl4SP Jednostki dÅ‚ugoÅ›ci i masy - przeliczanie,,,
,,"ZaleÅ¼noÅ›ci miÄ™dzy jednostkami dÅ‚ugoÅ›ci:
1 cm = 10 mm
1 dm = 10 cm = 100 mm
1 m = 10 dm = 100 cm = 1000 mm
1 km = 1 000 m = 10 000 dm = 100 000 cm = 1 000 000 mm",
,,"ZaleÅ¼noÅ›ci miÄ™dzy jednostkami masy:
* 1 dag = 10 g
* 1 kg = 100 dag = 1 000 g
* 1 t = 1 000 kg = 100 000 dag = 1 000 000 g",
,,"JeÅ›li mnoÅ¼ysz przez 10, 100, 1000 itd., dopisz do mnoÅ¼onej liczby odpowiednio duÅ¼o zer.
2<span style=""background:green"">00</span> â‹… 1<span style=""background:blue"">0</span> = 2 <span style=""background:green"">00</span><span style=""background:blue"">0</span>
3 <span style=""background:green"">000</span> â‹… 1<span style=""background:blue"">00</span> = 3<span style=""background:green"">00 0</span><span style=""background:blue"">00</span>
----
JeÅ›li liczbÄ™, ktÃ³ra ma na koÅ„cu zera, dzielisz przez 100, 1000 itd., skreÅ›l w dzielnej tyle zer, ile jest ich w dzielniku.
42 0<span style=""background:red"">00</span> : 1<span style=""background:red"">00</span> = 420",
,,"JeÅ¼eli dÅ‚ugoÅ›Ä‡ jest wyraÅ¼ona w rÃ³Å¼nych jednostkach, zamieÅ„ wiÄ™kszÄ… z nich na mniejszÄ… i/lub mniejszÄ… na wiÄ™kszÄ…, a nastÄ™pnie dodaj je do siebie, np.
* 1 cm 2 mm = 10 mm + 2 mm = 12 mm
* 4 m 200 mm = 40 dm + 2 dm = 42 dm",
,,,
Jednostki dÅ‚ugoÅ›ci,,,
"Zamiana jednostek dÅ‚ugoÅ›ci:

1 km = ğŸˆm
1 m = ğŸ cm
1 dm = ğŸ’£ cm
1 cm = ğŸ’ mm","1 km = 1000 m
1 m = 100 cm
1 dm = 10 cm
1 cm = 10 mm",,
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q11&""""",15 m = 15 â‹… 1000 = 15 000 mm,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w mm (milimetrach):
* 15 m"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q12&""""",2 km = 2 â‹… 1 000 000  = 2 000 000 mm,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w mm (milimetrach):
* 2 km"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q13&""""",3 km = 3 â‹… 100 000 = 300 000 cm,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w cm (centymetrach):
* 3 km"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q14&""""",2000 mm = 2000 : 100 = 20 dm,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dm (decymetrach):
* 2 000 mm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q15&""""",6 m = 6 â‹… 10 = 60 dm,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dm (decymetrach):
* 6 m"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q16&""""",24 m = 24 â‹… 10 = 240 dm,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dm (decymetrach):
* 24 m"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q17&""""",79 km = 79 â‹… 10 000 = 790 000 dm,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dm (decymetrach):
* 79 km"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q18&""""",7000 mm = 7000 : 1000 = 7 m,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 7 000 mm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q19&""""",5000 cm = 5000 : 100 = 50 m,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 5 000 cm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q20&""""",80 dm = 80 : 10 = 8 m,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 80 dm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q21&""""",210 dm = 210 : 10 = 21 m,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 210 dm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q22&""""",7 km = 7 â‹… 1000 = 7000 m,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 7 km"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q23&""""",15 km = 15 â‹… 1000 = 15000 m,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 15 km"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q24&""""",48 000 000 mm = 48 000 000 : 1 000 000 = 48 km,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w km (kilometrach):
* 48 000 000 mm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q25&""""",1 800 000 cm = 1 800 000 : 100 000 = 18 km,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w km (kilometrach):
* 1 800 000 cm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q26&""""",540 000 dm = 540 000 : 10 000 = 54 km,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w km (kilometrach):
* 540 000 dm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q27&""""",6 000 m = 6000 : 1000 = 6 km,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w km (kilometrach):
* 6 000 m"""
,,,
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q29&""""","4 m = 4 â‹… 100 = 400 cm
:400 cm + 40 cm = 440 cm",=$D$7,"~#place-after-tech-cols#~=""WyraÅº w cm (centymetrach):
* 4 m 40 cm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q30&""""","13 m = 13 â‹… 100 = 1300 cm
:1300 cm + 13 cm = 1313 cm",=$D$7,"~#place-after-tech-cols#~=""WyraÅº w cm (centymetrach):
* 13 m 13 cm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q31&""""","7 dm = 7 â‹… 10 = 70 cm
:70 cm + 5 cm = 75 cm",=$D$7,"~#place-after-tech-cols#~=""WyraÅº w cm (centymetrach):
* 7 dm 5 cm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q32&""""","13 dm = 13 â‹… 10 = 130 cm
:130 cm + 1 cm = 131 cm",=$D$7,"~#place-after-tech-cols#~=""WyraÅº w cm (centymetrach):
* 13 dm 1 cm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q33&""""","1 km = 1 â‹… 1 000 = 1 000 m
:1 000 m + 300 m = 1 300 m",=$D$7,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 1 km 300 m"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q34&""""","8 km = 8 â‹… 1 000 = 8 000 m
350 dm = 350 : 10 = 35 m
:8 000 m + 35 m = 8 035 m",=$D$7,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 8 km 350 dm"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q35&""""","10 km = 10 â‹… 1000 = 10 000 m
:10 000 m + 10 m = 10 010 m",=$D$7,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 10 km 10 m"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$4&""
----
""&Q36&""""","14 km = 14 â‹… 1000 = 14 000 m
:14 000 m + 147 m = 14 147 m",=$D$7,"~#place-after-tech-cols#~=""WyraÅº w m (metrach):
* 14 km 147 m"""
,,,
Jednostki masy,,,
"Zamiana jednostek masy:

1 t = ğŸŒ€ kg
1 kg = â‡ï¸ dag
1 dag = ğŸ”† g","1 t = 1000 kg
1 kg = 100 dag
1 dag = 10 g",,
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q40&""""",4 dag = 4 â‹… 10 = 40 g,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w g (gramach):
* 4 dag"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q41&""""",13 dag = 13 â‹… 10 = 130 g,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w g (gramach):
* 13 dag"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q42&""""",8 kg = 8 â‹… 100 = 800 dag,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dag (dekagramach):
* 8 kg"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q43&""""",100 g = 100 : 10 = 10 dag,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dag (dekagramach):
* 100 g"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q44&""""",30 g = 30 : 10 = 3 dag,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dag (dekagramach):
* 30 g"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q45&""""",5 kg = 5 â‹… 1000 = 5000 g,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w g (gramach):
* 5 kg"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q46&""""",87 kg = 87 â‹… 1000 = 87 000 g,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w g (gramach):
* 87 kg"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q47&""""",1 t = 1 â‹… 1 000 000 = 1 000 000 g,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w g (gramach):
* 1 t"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q48&""""",5 t = 5 â‹… 1 000 000 = 5 000 000 g,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w g (gramach):
* 5 t"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q49&""""",6 000 g = 6 000 : 1 000 = 6 kg,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w kg (kilogramach):
* 6 000 g"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q50&""""",15 kg = 15 â‹… 100 = 1500 dag,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dag (dekagramach):
* 15 kg"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q51&""""",3 t = 3 â‹… 100 000  = 300 000 dag,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dag (dekagramach):
* 3 t"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q52&""""",200 t = 200 â‹… 100 000 = 20 000 000 dag,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w dag (dekagramach):
* 200 t"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q53&""""",50 000 g = 50 000 : 1 000 = 50 kg,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w kg (kilogramach):
* 50 000 g"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q54&""""",400 dag = 400 : 100 = 4 kg,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w kg (kilogramach):
* 400 dag"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q55&""""",1 400 dag = 1 400 : 100 = 14 kg,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w kg (kilogramach):
* 1 400 dag"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q56&""""",2 t = 2 â‹… 1 000 = 2 000 kg,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w kg (kilogramach):
* 2 t"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q57&""""",300 t = 300 â‹… 1 000 = 300 000 kg,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w kg (kilogramach):
* 300 t"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q58&""""",7 000 kg = 7 000 : 1000 = 7 t,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w t (tonach):
* 7 000 kg"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q59&""""",83 000 kg = 83 000 : 1000 = 83 t,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w t (tonach):
* 83 000 kg"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q60&""""",25 000 000 g = 25 000 000 : 1 000 000 = 25 t,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w t (tonach):
* 25 000 000 g"""
"=""Zapoznaj siÄ™ ze wskazÃ³wkami, a nastÄ™pnie wyraÅº podane wielkoÅ›ci we wskazanej jednostce.""
&Char(10)&Char(10)&$D$5&""
----
""&Q61&""""",4 800 000 dag = 4 800 000 : 100 000 = 48 t,=$D$6,"~#place-after-tech-cols#~=""WyraÅº w t (tonach):
* 4 800 000 dag"""