Wszystkie obrazy pochodzą ze strony https://matematyka.wiki/,,"Portal matematyka.wiki to kompleksowe źródło wiedzy matematycznej, skierowane do uczniów na wszystkich poziomach edukacji, a także do wszystkich pasjonatów matematyki. Serwis oferuje bogaty zestaw materiałów edukacyjnych, od podstawowych zagadnień po bardziej zaawansowane tematy, zapewniając użytkownikom stały dostęp do aktualnych i rzetelnie opracowanych treści.",,
,,,,
Wymień rodzaje kątów i podaj ich miary.,"Definicje podstawowe:
* Kąt zerowy (0°)
* Kąt ostry (0° - 90°)
* Kąt prosty (90°)
* Kąt rozwarty (90° - 180°)
* Kąt półpełny (180°)
* Kąt pełny (360°)
Dodatkowo:
* Kąt wypukły (0° - 180°)
* Kąt wklęsły (180° - 360°)","Kąt zerowy (0°)

Kąt ostry (0° - 90°):
[[File:https://matematyka.wiki/obrazki/kat-ostry.png]]

Kąt prosty (90°):
[[File:https://matematyka.wiki/obrazki/kat-prosty.png]]

Kąt rozwarty (90° - 180°):
[[File:https://matematyka.wiki/obrazki/kat-rozwarty.png]]

Kąt półpełny (180°):
[[File:https://matematyka.wiki/obrazki/kat-polpelny.png]]

Kąt pełny (360°):
[[File:https://matematyka.wiki/obrazki/kat-pelny.png]]


Kąt wypukły (0° - 180°):
[[File:https://matematyka.wiki/obrazki/kat-wypukly.png]]

Kąt wklęsły (180° - 360°):
[[File:https://matematyka.wiki/obrazki/kat-wklesly.png]]",,
,,,,
"Kąty ostre, rozwarte, proste, pełne i półpełne",,,,
Jak wygląda kąt ostry i w jakim jest zakresie kątów?,Od 0° do 90°,,,https://matematyka.wiki/obrazki/kat-ostry.png
Jak wygląda kąt rozwarty i w jakim jest zakresie kątów?,Od 90° do 180°,,,https://matematyka.wiki/obrazki/kat-rozwarty.png
Jak wygląda kąt prosty i w jakim jest zakresie kątów?,Równe 90°,,,https://matematyka.wiki/obrazki/kat-prosty.png
Jak wygląda kąt półpełny i w jakim jest zakresie kątów?,Równe 180°,,,https://matematyka.wiki/obrazki/kat-polpelny.png
Jak wygląda kąt pełny i w jakim jest zakresie kątów?,Równe 360°,,,https://matematyka.wiki/obrazki/kat-pelny.png
Jakimi narzędziami mierzymy kąty?,"* Kątomierz: Najpopularniejsze narzędzie do mierzenia kątów w stopniach.
* Ekierka: Przydatna do szybkiego rozpoznawania kątów 30°, 45°, 60° i 90°.
* Cyrkiel: Można go użyć do przenoszenia i porównywania kątów.",,,
Jaki jest zakres miar dla kąta ostrego?,Większy niż 0° i mniejszy niż 90°.,,,https://matematyka.wiki/obrazki/kat-ostry.png
Jaki jest zakres miar dla kąta rozwartego?,Większy niż 90° i mniejszy niż 180°.,,,https://matematyka.wiki/obrazki/kat-rozwarty.png
Jaką miarę ma kąt prosty?,Dokładnie 90°.,,,https://matematyka.wiki/obrazki/kat-prosty.png
Jaką miarę ma kąt półpełny?,Dokładnie 180°.,,,https://matematyka.wiki/obrazki/kat-polpelny.png
Jaką miarę ma kąt pełny?,Dokładnie 360°.,,,https://matematyka.wiki/obrazki/kat-pelny.png
Jaką miarę ma kąt zerowy?,Dokładnie 0°.,,,
"=""Jak nazywa się kąt o mierze ""&RANDBETWEEN(1;89)&""°?""",Kąt ostry.,,,https://matematyka.wiki/obrazki/kat-ostry.png
"=""Jak nazywa się kąt o mierze ""&RANDBETWEEN(91;179)&""°?""",Kąt rozwarty.,,,https://matematyka.wiki/obrazki/kat-rozwarty.png
Jak nazywa się kąt o mierze 90°?,Kąt prosty.,,,https://matematyka.wiki/obrazki/kat-prosty.png
Jak nazywa się kąt o mierze 180°?,Kąt półpełny.,,,https://matematyka.wiki/obrazki/kat-polpelny.png
Jak nazywa się kąt o mierze 360°?,Kąt pełny.,,,https://matematyka.wiki/obrazki/kat-pelny.png
Jaki kąt tworzą wskazówki zegara o godzinie 3:00?,Kąt prosty.,,,https://matematyka.wiki/obrazki/kat-prosty.png
Jaki kąt tworzą wskazówki zegara o godzinie 6:00?,Kąt półpełny.,,,https://matematyka.wiki/obrazki/kat-polpelny.png
"Jak nazywa się kąt, którego ramiona tworzą linię prostą?",Kąt półpełny.,,,https://matematyka.wiki/obrazki/kat-polpelny.png
"Jak nazywa się kąt, którego ramiona pokrywają się, ale nie jest to kąt zerowy?",Kąt pełny.,,,https://matematyka.wiki/obrazki/kat-pelny.png
Który kąt jest większy: ostry czy prosty?,Kąt prosty.,,,https://matematyka.wiki/obrazki/kat-prosty.png
"Jaki kąt powstanie, gdy od kąta półpełnego odejmiemy kąt prosty?",Kąt prosty (180° - 90° = 90°).,,,https://matematyka.wiki/obrazki/kat-prosty.png
Ile kątów prostych mieści się w kącie pełnym?,Cztery.,,,https://matematyka.wiki/obrazki/kat-prosty.png
Ile wynosi suma miar dwóch kątów prostych i jaki kąt tworzy?,"180°, czyli kąt półpełny.",,,https://matematyka.wiki/obrazki/kat-polpelny.png
Jaki rodzaj kąta tworzą nogi stołu z podłogą?,Najczęściej kąt prosty.,,,https://matematyka.wiki/obrazki/kat-prosty.png
Jaki kąt tworzy kromka pizzy (jeden kawałek)?,Najczęściej kąt ostry.,,,https://matematyka.wiki/obrazki/kat-ostry.png
"Jak nazywamy kąt, który ma 1°?",Kąt ostry.,,,https://matematyka.wiki/obrazki/kat-ostry.png
"Jak nazywamy kąt, który ma 179°?",Kąt rozwarty.,,,https://matematyka.wiki/obrazki/kat-rozwarty.png
Który kąt jest mniejszy: półpełny czy rozwarty?,Kąt rozwarty.,,,https://matematyka.wiki/obrazki/kat-rozwarty.png
,,,,
Kąty wklęsłe i wypukłe,,,,
"=""Jak nazywa się kąt o mierze ""&RANDBETWEEN(181;359)&""°?""",Kąt wklęsły.,,,https://matematyka.wiki/obrazki/kat-wklesly.png
Jaka jest główna różnica w wyglądzie kąta wypukłego i wklęsłego?,"Kąt wypukły jest ""mniejszą częścią"" koła (do 180°), a kąt wklęsły jest ""większą częścią"" koła (powyżej 180°).",,,"https://matematyka.wiki/obrazki/kat-wypukly.png

https://matematyka.wiki/obrazki/kat-wklesly.png"
Jaki jest zakres miar dla kąta wklęsłego?,Większy niż 180° i mniejszy niż 360°.,,,https://matematyka.wiki/obrazki/kat-wklesly.png
Podaj przykład miary kąta wklęsłego.,"Dowolna miara większa niż 180° i mniejsza niż 360°.

Na przykład 200°, 270°, 350°.",,,https://matematyka.wiki/obrazki/kat-wklesly.png
Kąt ma 181°. Jaki to rodzaj kąta?,Kąt wklęsły.,,,https://matematyka.wiki/obrazki/kat-wklesly.png
Jaki jest najmniejszy kąt wklęsły?,"Kąt o mierze minimalnie większej niż 180°, np. 180,001°.",,,https://matematyka.wiki/obrazki/kat-wklesly.png
"Jaką wspólną nazwą (wypukły czy wklęsły) określimy kąty o miarach 15°, 90°, 175°?",Wszystkie są kątami wypukłymi.,,,https://matematyka.wiki/obrazki/kat-wypukly.png
Które kąty zaliczamy do kątów wypukłych?,"Wszystkie kąty o mierze mniejszej lub równej 180°:
* kąt ostry
* kąt prosty
* kąt rozwarty
* kąt półpełny",,,https://matematyka.wiki/obrazki/kat-wypukly.png
Czy kąt prosty jest kątem wypukłym?,"Tak, ponieważ jego miara (90°) jest mniejsza niż 180°.",,,https://matematyka.wiki/obrazki/kat-wypukly.png
Czy kąt półpełny jest kątem wypukłym?,"Tak, definicja kąta wypukłego obejmuje kąty o mierze do 180° włącznie.",,,https://matematyka.wiki/obrazki/kat-wypukly.png
Prawda czy fałsz: Każdy kąt ostry i rozwarty jest jednocześnie kątem wypukłym.,Prawda.,,,https://matematyka.wiki/obrazki/kat-wypukly.png
Jaki jest największy kąt wypukły?,Kąt półpełny (180°).,,,https://matematyka.wiki/obrazki/kat-wypukly.png
Czy kąt pełny jest kątem wklęsłym?,"Nie.
Kątem wklęsłym jest kąt o mierze większej niż 180° i mniejszej niż 360°.",,,