#SHEETINFO | name=Kl4SP Potęgi,,,,
Zapisz w postaci iloczynu: \( 5^2 \),\( 5 \cdot 5 \),,,
Zapisz w postaci iloczynu: \( 2^3 \),\( 2 \cdot 2 \cdot 2 \),,,
Jak nazywa się liczba 5 w zapisie \( 5^3 \)?,Podstawa potęgi.,,,
Jak nazywa się liczba 3 w zapisie \( 5^3 \)?,Wykładnik potęgi.,,,
Ile wynosi \( 1^{100} \)?,1,,,
Ile wynosi \( 0^5 \)?,0,,,
,,,,
"=""Oblicz kwadrat liczby ""&Q11",=Q11^2,,~#place-after-tech-cols#~=RANDBETWEEN(1;15),
"=""Oblicz kwadrat liczby ""&Q12",=Q12^2,,~#place-after-tech-cols#~=RANDBETWEEN(1;15),
"=""Oblicz: \( ""&Q13&""^2 \)""",=Q13^2,"=""\( ""&Q13&"" \cdot ""&Q13&"" \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;15),
"=""Oblicz: \( ""&Q14&""^2 \)""",=Q14^2,"=""\( ""&Q14&"" \cdot ""&Q14&"" \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;15),
"=""Oblicz: \( ""&Q15&""^2 \)""",=Q15^2,"=""\( ""&Q15&"" \cdot ""&Q15&"" \)""",~#place-after-tech-cols#~=RANDBETWEEN(2;15),
,,,,
"=""Oblicz sześcian liczby ""&Q17",=Q17^3,,~#place-after-tech-cols#~=RANDBETWEEN(1;4),
"=""Oblicz: \( ""&Q18&""^3 \)""",=Q18^3,"=""\( ""&Q18&"" \cdot ""&Q18&"" \cdot ""&Q18&"" \)""",~#place-after-tech-cols#~=RANDBETWEEN(1;5),
"=""Oblicz: \( ""&Q19&""^3 \)""",=Q19^3,"=""\( ""&Q19&"" \cdot ""&Q19&"" \cdot ""&Q19&"" \)""",~#place-after-tech-cols#~=RANDBETWEEN(1;5),
,,,,
"=""Porównaj liczby (wstaw <, > lub =):
\( ""&Q21&""^2 \) ... \( 2^{""&Q21&""} \)""","=IF(Q21^2 > 2^Q21; "">""; IF(Q21^2 < 2^Q21; ""<""; ""=""))","=""Policz oddzielnie: \( ""&Q21&""^2 = ""&Q21^2&"" \), a \( 2^{""&Q21&""} = ""&2^Q21&"" \)""",~#place-after-tech-cols#~=RANDBETWEEN(3;6),
"=""Porównaj liczby (wstaw <, > lub =):
\( ""&Q22&""^2 \) ... \( ""&Q22+1&""^2 \)""",<,,~#place-after-tech-cols#~=RANDBETWEEN(2;9),
,,,,
"=""Oblicz: ""&Q24&"" + ""&R24&""\(^2\)""",=Q24 + R24^2,Pamiętaj: potęgowanie wykonujemy przed dodawaniem.,~#place-after-tech-cols#~=RANDBETWEEN(10;50),=RANDBETWEEN(2;9)
"=""Oblicz: ""&Q25&"" ⋅ ""&R25&""\(^2\)""",=Q25 * R25^2,Pamiętaj: potęgowanie wykonujemy przed mnożeniem.,~#place-after-tech-cols#~=RANDBETWEEN(2;5),=RANDBETWEEN(2;6)
"=""Oblicz: (""&Q26&"" + ""&R26&"")\(^2\)""",=(Q26+R26)^2,Najpierw wykonaj działanie w nawiasie.,~#place-after-tech-cols#~=RANDBETWEEN(1;4),=RANDBETWEEN(1;5)
"=""Oblicz: ""&Q27&""\(^2\) - ""&R27&""\(^2\)""",=Q27^2 - R27^2,,~#place-after-tech-cols#~=RANDBETWEEN(5;10),=RANDBETWEEN(1;4)
"=""Oblicz: ""&Q28&""\(^2\) + ""&R28&""\(^3\)""",=Q28^2 + R28^3,,~#place-after-tech-cols#~=RANDBETWEEN(2;8),=RANDBETWEEN(1;3)
"=""Oblicz: (""&Q29&"" - ""&R29&"")\(^2\)""",=(Q29-R29)^2,"Najpierw działanie w nawiasie, potem potęgowanie.",~#place-after-tech-cols#~=RANDBETWEEN(6;12),=RANDBETWEEN(1;5)
,,,,
"=""Bok kwadratu ma długość ""&Q31&"" cm. Ile wynosi jego pole?""","=""\( ""&Q31^2&"" \text{ cm}^2 \)""",Pole kwadratu to bok do potęgi drugiej.,~#place-after-tech-cols#~=RANDBETWEEN(3;12),
"=""Bok kwadratu ma długość ""&Q32&"" m. Ile wynosi jego pole?""","=""\( ""&Q32^2&"" \text{ m}^2 \)""",Pole kwadratu to bok do potęgi drugiej.,~#place-after-tech-cols#~=RANDBETWEEN(3;15),
"=""Krawędź sześcianu ma długość ""&Q33&"" cm. Ile wynosi jego objętość?""","=""\( ""&Q33^3&"" \text{ cm}^3 \)""",Objętość sześcianu to krawędź do potęgi trzeciej.,~#place-after-tech-cols#~=RANDBETWEEN(1;4),
"=""Kwadrat liczby ""&Q34&"" to?""",=Q34^2,,~#place-after-tech-cols#~=RANDBETWEEN(2;13),
"=""Sześcian liczby ""&Q35&"" to?""",=Q35^3,,~#place-after-tech-cols#~=RANDBETWEEN(1;4),
"=""Jaka liczba podniesiona do kwadratu daje ""&Q36^2&""?""",=Q36,,~#place-after-tech-cols#~=RANDBETWEEN(2;12),